Complaint ID,Borough,Complaint Date,Latitude,Longitude,Neighborhood
926190427,QUEENS,12/28/2019,40.672720147000064,-73.76490254699995,Rochdale
257946685,QUEENS,12/28/2019,40.74187675600007,-73.85192118199996,Corona
412072413,QUEENS,12/28/2019,40.69232245200004,-73.81219887099995,Richmond Hill
241128191,MANHATTAN,12/28/2019,40.736698070000045,-73.98331602599995,Gramercy
460240289,MANHATTAN,12/28/2019,40.744971115000055,-73.98604588199998,Flatiron District
989626024,STATEN ISLAND,12/28/2019,40.579380727000064,-74.16947229799997,Heartland Village
433890659,BROOKLYN,12/28/2019,40.697118193000044,-73.92630315399998,Bushwick
229755862,QUEENS,12/28/2019,40.759869755000075,-73.82897041199995,Flushing
640105402,STATEN ISLAND,12/28/2019,40.623188378000066,-74.14923769499995,Graniteville
151735428,QUEENS,12/28/2019,40.70426739000004,-73.89355375999997,Ridgewood
994623182,QUEENS,12/28/2019,40.714776982000046,-73.73280103399995,Queens Village
429977246,BROOKLYN,12/28/2019,40.62303466900005,-74.01356047599995,Dyker Heights
295098818,STATEN ISLAND,12/28/2019,40.56227456700003,-74.17348500399999,Greenridge
281577425,BRONX,12/28/2019,40.841584606000026,-73.91778363799993,High Bridge
395241082,STATEN ISLAND,12/28/2019,40.545017545000064,-74.14396821099997,Great Kills
189610193,QUEENS,12/28/2019,40.69989508200007,-73.75513779799998,St. Albans
326684803,BRONX,12/28/2019,40.83934578600008,-73.83240540799993,Pelham Bay
705743905,MANHATTAN,12/28/2019,40.71651455500006,-73.97589355099996,Lower East Side
755442041,BRONX,12/28/2019,40.86603507500007,-73.89193541699996,Fordham
231257166,MANHATTAN,12/28/2019,40.81390470100007,-73.95309512599994,Manhattanville
172813195,QUEENS,12/28/2019,40.680048726000045,-73.77590919399995,Rochdale
904833059,BROOKLYN,12/28/2019,40.61772916800004,-73.95488269099997,Midwood
228955397,QUEENS,12/28/2019,40.72185185300003,-73.80464783899998,Hillcrest
364833325,QUEENS,12/28/2019,40.66488276800004,-73.74633780899995,Springfield Gardens
478233759,BROOKLYN,12/28/2019,40.670655072000045,-73.91339091999998,Brownsville
135298480,BROOKLYN,12/28/2019,40.68520473700005,-73.99679241499997,Cobble Hill
247271848,QUEENS,12/28/2019,40.76491045100005,-73.82987440199997,Flushing
323201868,BROOKLYN,12/28/2019,40.627247109000045,-73.98072795099996,Ocean Parkway
771586269,QUEENS,12/28/2019,40.59666075600006,-73.80224142599997,Arverne
663565014,BROOKLYN,12/28/2019,40.654160810000064,-73.93744003999996,East Flatbush
437282345,BRONX,12/28/2019,40.88240588100007,-73.82945802399995,Eastchester
734041782,BROOKLYN,12/28/2019,40.57528417800006,-73.99697047499996,Coney Island
941698121,BROOKLYN,12/28/2019,40.68982773900007,-73.92576671999996,Bedford Stuyvesant
662270735,BRONX,12/28/2019,40.824144257000064,-73.91717287899995,Concourse
399168344,BROOKLYN,12/28/2019,40.66918331900007,-73.93804236899997,Crown Heights
563964942,MANHATTAN,12/28/2019,40.75609761800007,-73.98109854999996,Midtown
530709416,MANHATTAN,12/28/2019,40.75619167000008,-73.98625649199995,Midtown
